date,arabica_usd,robusta_usd,arabica_ma3,robusta_ma3,arabica_pct_change,robusta_pct_change,arabica_volatility,robusta_volatility,ugx_per_usd,arabica_ugx,robusta_ugx,rainfall_mm,temp_celsius,soil_moisture,rainfall_lag6,rainfall_lag9,drought_flag,health_score
2010-07-01,4.480008302,1.879879474,4.169597806,1.7107851200000004,6.44840230487167,10.855434217368698,3.4704282615221627,4.831477245873777,2257.286363636364,10112.6616490823,4243.4263019401,2455.185,21.848358,0.29376957,1852.9641,4484.6934,0,64.8
2010-08-01,4.664755458,1.822779816,4.451127779999999,1.7994843313333335,4.12381280448797,-3.03741057816348,3.346640934114292,5.0109918765041925,2230.940714285714,10406.792873438702,4066.513704692622,3313.1228,22.094696,0.30215517,4145.3066,3814.1765,0,69.5
2010-09-01,4.909909202,1.791915136,4.6848909873333335,1.831524808666667,5.255446854766288,-1.693275278180928,3.1759806467074503,5.071794316535739,2251.303095238095,11053.693783800603,4034.144092080792,4138.496,21.976227,0.33168602,4473.9116,3882.615,0,85.8
2010-10-01,4.798134968,1.879879474,4.790933209333333,1.831524808666667,-2.276503075748715,4.90895669291338,3.572210011447525,5.176101796383847,2264.820954272555,10866.916616954277,4257.590424222069,4414.4863,22.370026,0.3238147,4406.9277,1852.9641,0,81.4
2010-11-01,5.147346776,2.029132248,4.951796982,1.900308952666667,7.278073883477298,7.939486337516111,3.472120136654208,5.009857135419945,2288.8728571428574,11781.622321888197,4644.425726000469,3092.91,22.736786,0.301534,4869.3354,4145.3066,0,69.1
2010-12-01,5.471205454,2.074326958,5.138895732666667,1.994446226666667,6.291759465478841,2.2272924815297745,3.5534057103206957,4.97562181081488,2303.929347826087,12605.27081345675,4779.10275552301,2663.2979,22.697388,0.27070823,3305.9966,4473.9116,0,52.1
2011-01-01,5.815126174,2.228650358,5.477892801333333,2.110703188,6.286013619696185,7.439685407588481,3.440454868018511,5.097340609963901,2333.135,13567.47440597549,5199.742153012329,1033.9492,23.68451,0.22691703,2455.185,4406.9277,1,27.9
2011-02-01,6.346880518,2.41075197,5.877737381999999,2.2379097620000006,9.14433028775068,8.170936788999917,3.3004585267266173,4.855403495197811,2341.9272222222226,14863.93226129608,5645.805664568851,1348.0366,24.705933,0.20851605,3313.1228,4869.3354,0,17.7
2011-03-01,6.439033634,2.604317606,6.200346775333333,2.4145733113333336,1.4519434506235165,8.029263831732948,3.466164644444326,4.6880470108906085,2393.313047619048,15410.623210310092,6232.947306583802,3438.6787,23.704376,0.26092225,4138.496,3305.9966,0,46.7
2011-04-01,6.616505544,2.587562494,6.467473232000001,2.5342106900000005,2.756188584928254,-0.6433590112587706,3.4731535700630323,4.920933042777813,2367.589210526316,15665.16713736195,6126.285042356964,3880.6255,23.073853,0.30526018,4414.4863,2455.185,0,71.2
